I
1200 Version - data cycle 2609, build 20260904, metadata NavXP1200. OpenAIRAC 1.0.0
 3 44.841794444 -68.873966667   360 11480 130 -19.000 BGR  ENRT  K6 NARBANGOR VORTAC
 3 32.385588889 -101.483683333  2670 11720  40  11.000 BGS  ENRT  K4 NARBIG SPRING VORTAC
 3 38.920344444 -88.481805556   535 10900  40   3.000 BIB  ENRT  K5 NARBIBLE GROVE VORTAC
 3 64.004461111 -145.717247222  1230 11490 130  23.000 BIG  ENRT  PA NARBIG DELTA VORTAC
 3 37.376950000 -118.366527778  4117 11335  40  15.000 BIH  ENRT  K2 NARBISHOP VOR-DME
 3 45.808558333 -108.624647222  3811 11450 130  14.000 BIL  ENRT  K1 NARBILLINGS VORTAC
 3 46.761761111 -100.665408333  1854 11565  40  12.000 BIS  ENRT  K3 NARBISMARCK VOR-DME
 3 39.913041667 -105.138986111  5737 11540 130  11.000 BJC  ENRT  K2 NARJEFFCO VOR-DME
 3 56.859408333 -135.551311111   260 11380 130  20.000 BKA  ENRT  PA NARBIORKA ISLAND VORTAC
 3 44.840600000 -117.807869444  3365 11530 130  20.000 BKE  ENRT  K1 NARBAKER CITY VOR-DME
 3 35.995791667 -114.863577778  3642 11670 130  15.000 BLD  ENRT  K2 NARBOULDER CITY VORTAC
 3 37.306441667 -81.194269444  2900 11505  40  -3.000 BLF  ENRT  K6 NARBLUEFIELD VOR-DME
 3 33.596063889 -114.761272222   410 11740 130  14.000 BLH  ENRT  K2 NARBLYTHE VORTAC
 3 36.136961111 -86.684772222   566 11410 130  -2.000 BNA  ENRT  K7 NARNASHVILLE VORTAC
 3 43.552811111 -116.192125000  2877 11330 130  17.000 BOI  ENRT  K1 NARBOISE VORTAC
 3 42.357450000 -70.989547222    18 11270 130 -16.000 BOS  ENRT  K6 NARBOSTON VOR-DME
 3 43.463152778 -108.299711111  7550 11780 130  16.000 BOY  ENRT  K1 NARBOYSEN RESERVOIR VOR-DME
 3 42.579447222 -110.109213889  6952 11650 130  10.000 BPI  ENRT  K1 NARBIG PINEY VOR-DME
 3 18.498402778 -67.108422222   223 11350 130 -10.000 BQN  ENRT  TJ NARBORINQUEN VORTAC
 3 39.630555556 -93.875277778   930 11535  40   3.000 BQS  ENRT  K3 NARBRAYMER VOR-DME
 3 40.759677778 -115.761377778  6466 11585  40  17.000 BQU  ENRT  K2 NARBULLION VOR-DME
 3 40.463763889 -106.872302778  8252 11220  40  13.000 BQZ  ENRT  K2 NARROBERT VOR-DME
 3 38.944511111 -104.633466667  6935 11250 130   8.000 BRK  ENRT  K2 NARBLACK FOREST VOR-DME
 3 40.723455556 -90.925888889   727 11555  40   5.000 BRL  ENRT  K3 NARBURLINGTON VOR-DME
 3 25.924072222 -97.375269444    10 11630 130   9.000 BRO  ENRT  K4 NARBROWNSVILLE VORTAC
 3 38.336258333 -77.352866667   145 11450  40  -9.000 BRV  ENRT  K6 NARBROOKE VORTAC
 3 71.273427778 -156.788116667    57 11620 130  10.000 BRW  ENRT  PA NARBARROW VOR-DME
 3 36.181294444 -121.642111111  4080 11400  40  16.000 BSR  ENRT  K2 NARBIG SUR VORTAC
 3 40.740705556 -81.432116667  1221 11405  40  -4.000 BSV  ENRT  K5 NARBRIGGS VOR-DME
 3 45.747811111 -122.591536111   253 11660 130  21.000 BTG  ENRT  K1 NARBATTLE GROUND VORTAC
 3 66.905008333 -151.535883333   637 11600 130  20.000 BTT  ENRT  PA NARBETTLES VOR-DME
 3 44.397105556 -73.182636111   417 11750  40 -15.000 BTV  ENRT  K6 NARBURLINGTON VOR-DME
 3 36.800597222 -116.747641667  2927 11470 130  16.000 BTY  ENRT  K2 NARBEATTY VORTAC
 3 38.272080556 -94.488261111   890 11590 130   7.000 BUM  ENRT  K3 NARBUTLER VORTAC
 3 40.726097222 -113.757416667  4220 11230 130  12.000 BVL  ENRT  K2 NARBONNEVILLE VORTAC
 3 36.834336111 -96.018430556   930 11790  40   8.000 BVO  ENRT  K4 NARBARTLESVILLE VOR-DME
 3 40.556172222 -87.069375000   752 11510 130   1.000 BVT  ENRT  K5 NARBOILER VORTAC
 3 31.892583333 -98.957461111  1574 11355  40   8.000 BWD  ENRT  K4 NARBROWNWOOD VOR-DME
 3 40.798788889 -74.822202778  1053 11420  40 -11.000 BWZ  ENRT  K6 NARBROADWAY VOR-DME
 3 33.453458333 -112.824594444  1067 11060  40  14.000 BXK  ENRT  K2 NARBUCKEYE VORTAC
 3 42.580238889 -113.865858333  4226 11410  40  18.000 BYI  ENRT  K1 NARBURLEY VOR-DME
 3 33.537486111 -96.234094444   700 11460 130   6.000 BYP  ENRT  K4 NARBONHAM VORTAC
 3 32.768108333 -114.602947222   130 11680 130  14.000 BZA  ENRT  K2 NARBARD VORTAC
 3 35.868852778 -81.240527778  1880 11375  40  -6.000 BZM  ENRT  K7 NARBARRETTS MOUNTAIN VOR-DME
 3 45.783900000 -111.155455556  4436 11240 130  18.000 BZN  ENRT  K1 NARBOZEMAN VOR-DME
 3 33.857250000 -81.053902778   404 11470 130  -2.000 CAE  ENRT  K7 NARCOLUMBIA VORTAC
 3 42.994288889 -73.344019444  1490 11500  40 -14.000 CAM  ENRT  K6 NARCAMBRIDGE VOR-DME
 3 33.641533333 -88.438572222   250 11520  40   0.000 CBM  ENRT  K7 NARCALEDONIA VORTAC
 3 40.929619444 -72.798858333    85 11455  40 -13.000 CCC  ENRT  K6 NARCALVERTON VOR-DME
 3 38.044919444 -122.045208333     5 11700  25  17.000 CCR  ENRT  K2 NARCONCORD VOR-DME
 3 55.267294444 -162.773997222    99 11260 130  10.000 CDB  ENRT  PA NARCOLD BAY VORTAC
 3 18.434158333 -69.667341667    69 11470 150 -12.000 CDO  ENRT  MD NARPUNTA CAUCEDO VOR-DME
 3 34.369063889 -100.289027778  1920 11700  40  10.000 CDS  ENRT  K4 NARCHILDRESS VORTAC
 3 41.779577778 -124.240847222    55 10900  40  14.000 CEC  ENRT  K2 NARCRESCENT CITY VORTAC
 3 30.826175000 -86.679144444   255 11590 130   3.000 CEW  ENRT  K7 NARCRESTVIEW VORTAC
 3 37.389850000 -108.561752778  6232 11435  40  14.000 CEZ  ENRT  K2 NARCORTEZ VOR-DME
 3 42.157491667 -76.136472222  1583 11220  40 -10.000 CFB  ENRT  K6 NARBINGHAMTON VOR-DME
 3 41.510005556 -87.571547222   634 11420  40   2.000 CGT  ENRT  K5 NARCHICAGO HEIGHTS VORTAC
 3 40.520080556 -107.304900000  7271 11560 130  14.000 CHE  ENRT  K2 NARHAYDEN VOR-DME
 3 32.894319444 -80.037813889    39 11350 130  -5.000 CHS  ENRT  K7 NARCHARLESTON VORTAC
 3 41.887547222 -91.785750000   876 11410 130   5.000 CID  ENRT  K3 NARCEDAR RAPIDS VOR-DME
 3 36.491397222 -104.872000000  6550 11640 130  13.000 CIM  ENRT  K2 NARCIMARRON VORTAC
 3 39.253216667 -80.267861111  1427 11260  40  -4.000 CKB  ENRT  K6 NARCLARKSBURG VOR-DME
 3 21.265111111 -157.702980556   640 11390 130  11.000 CKH  ENRT  PH NARKOKO HEAD VORTAC
 3 36.621986111 -87.412658333   537 11060  25  -1.000 CKV  ENRT  K7 NARCLARKSVILLE VOR-DME
 3 41.755708333 -107.581983333  7050 11500 130  15.000 CKW  ENRT  K1 NARCHEROKEE VOR-DME
